"id","full_name","name","bic","short_name","logo_url","transfer_supported","lookup_supported","short_name","swift_code","active","country"
"res_bank_43","TMCP Việt Nam Thịnh Vượng - Ngân hàng số Ubank by VPBank","Ubank","546035","Ubank","UBANK.png","1","1","Ubank","","TRUE","VN"
"res_bank_44","Ngân hàng Thương mại TNHH MTV Đại Dương","Oceanbank","970414","Oceanbank","OCEANBANK.png","1","1","Oceanbank","OCBKUS3M","TRUE","VN"
"res_bank_45","Ngân hàng TMCP Việt Nam Thương Tín","VIETBANK","970433","VietBank","VIETBANK.png","1","1","VietBank","VNTTVNVX","TRUE","VN"
"res_bank_46","Ngân hàng Đại chúng TNHH Kasikornbank","KBank","668888","KBank","KBANK.png","1","0","KBank","KASIVNVX","TRUE","VN"
"res_bank_47","Ngân hàng Thương mại TNHH MTV Xây dựng Việt Nam","CBB","970444","CBBank","CBB.png","0","0","CBBank","GTBAVNVX","TRUE","VN"
"res_bank_48","Ngân hàng TNHH MTV CIMB Việt Nam","CIMB","422589","CIMB","CIMB.png","0","1","CIMB","CIBBVNVN","TRUE","VN"
"res_bank_49","DBS Bank Ltd - Chi nhánh Thành phố Hồ Chí Minh","DBS","796500","DBSBank","DBS.png","0","0","DBSBank","DBSSVNVX","TRUE","VN"
"res_bank_50","Ngân hàng Kookmin - Chi nhánh Thành phố Hồ Chí Minh","KBHCM","970463","KookminHCM","KBHCM.png","0","0","KookminHCM","","TRUE","VN"
"res_bank_51","Ngân hàng Kookmin - Chi nhánh Hà Nội","KBHN","970462","KookminHN","KBHN.png","0","0","KookminHN","","TRUE","VN"
"res_bank_52","Ngân hàng TNHH MTV Standard Chartered Bank Việt Nam","SCVN","970410","StandardChartered","SCVN.png","0","1","StandardChartered","SCBLVNVX","TRUE","VN"
"res_bank_53","Ngân hàng TNHH MTV HSBC (Việt Nam)","HSBC","458761","HSBC","HSBC.png","0","1","HSBC","HSBCVNVX","TRUE","VN"
"res_bank_54","Ngân hàng Công nghiệp Hàn Quốc - Chi nhánh Hà Nội","IBK - HN","970455","IBKHN","IBK.png","0","0","IBKHN","","TRUE","VN"
"res_bank_55","Ngân hàng Công nghiệp Hàn Quốc - Chi nhánh TP. Hồ Chí Minh","IBK - HCM","970456","IBKHCM","IBK.png","0","0","IBKHCM","","TRUE","VN"
"res_bank_56","Ngân hàng Nonghyup - Chi nhánh Hà Nội","NHB HN","801011","Nonghyup","NHB.png","0","0","Nonghyup","","TRUE","VN"
"res_bank_57","Ngân hàng TNHH MTV Public Việt Nam","PBVN","970439","PublicBank","PBVN.png","0","1","PublicBank","VIDPVNVX","TRUE","VN"
